Comment,Rating
"Máy chụp hình đẹp. 

Mỗi dung lượng pin   k thích sài rất nhanh hết pin.  6h sáng sạc pin. Sài mới  15h đã còn 20% pin. Trong khi máy k sài liên tục",4/5
Giống mình.  Pin ko phanh . Mở tiết tiết kiệm pin mới  dc,0/5
"Vậy là samsung đã thất bại trong sản phẩm này, chiếc điện thoại thảm hoạ của năm",0/5
Bình thường thôi bạn ơi ,0/5
Để màn hình 60hz thôi cho tiết kiệm pin bác ơi,0/5
Hạ độ phân giải xuống fhd luôn pin mới đỡ hao chứ 2k nó tốn pin.mà trước giờ máy cao cấp samsung có con nào pin trâu đâu,0/5
"Tui chơi mượt mà ? Bạn thử setting lại xem ,có bật nhiều app chạy ngầm gây lag ko ,kiểm tra mạng wifi 4g xem có đỏ ko ",0/5
"Máy tạm,game lag,giật liên tục,pin tut nhanh,khá thất vọng với siêu phẩm cua nhà samsung.chờ bản cập nhật mới xem ntn",4/5
chưa mua vô cmt phán như đr ,0/5
"Tui sài s20 rất ưng ,máy đẹp nhỏ gọn vs con gái còn mấy bạn nam thì nên mua mi10 mà chơi game ,tui chỉ sài fb zalo lienquan nên thấy ổn mượt pin trâu sạc nhanh ,camera đẹp ",0/5
"Rất ngon, camera chụp nét, pin trâu, sạc nhanh, màn hình nét, chip chơi game khá tốt, nói chung là hoàn hảo",5/5
Chip exynos chơi game chém hoa quả tốt à bác,0/5
"Điện thoại XS mình mua từ 03.09.20 den nay chưa đến 1 tháng mà bin đã tụt còn 98% , Mình ko dùng máy nhiều vì đang dùng song song cùng 1 máy cũ nữa, chỉ nghe gọi, zl,fb  và ko chơi game , ios thì vẫn nguyên bản Chưa nâng cấp .Sao dung lượng bin tối đa lại tụt nhanh vậy ạ",3/5
"Mình đang dùng iphone 11 mà thấy samsung note 10+ này đẹp quá nên phải mua luôn, máy quá đẹp, 100đ, hiệu năng thì chưa biết như thế nào nhưng mà đẹp, cảm thấy đẹp nhất trong tất cả các loại máy",5/5
"Pro làm trong Vivo à? bỏ gần 20 củ ra mua, bị dắt mũi mà còn ko biết.",0/5
Chưa dùng thì đừng bảo ai dắt mũi ai,0/5
"nhiều bạn chưa dùng mà chê nhiều quá, điện thoại bây giờ đâu chỉ so sánh mỗi cấu hình, đâu phải ai mua máy cũng chỉ để game đâu. đáng giá của x50 pro này là camera chứ đâu phải cấu hình.",5/5
"Sản phẩm tuyệt vời Thiết kế đẹp Tinh tế, pin trâu , mổi người tùy sở thích không xài thì để người ta mua đừng có chê bai thậm thế mấy thánh, nhiều khi mấy thánh chưa mua điện thoại mà đã nhảy vô chê rồi , làm hoan mang những người khác , thiệt
Là ăn không được phá cho hôi đây mà",5/5
Phải công nhận là mượt ! Mỗi tội điều ko tránh khỏi là pin quá yếu ! Dùng rất nhanh nóng máy mặc dù ở trong phòng bật điều hoà ! Như kiểu sắp nổ ý! Ai có ý định mua để chơi game thì nên bỏ ! Máy rất nhanh nóng khi chơi game nặng ! ,3/5
Ừ ! có nóng thiệt nhưng nó chơi game rất mượt . Mình rất thích nó !,0/5
Máy cấu hình mạnh...năm nay chip exynos tối ưu hóa tốt hơn s20+ pin trâu tôi xài gần 2 ngày mới sạc pin...hiệu năng thì ko còn j để chê,5/5
Quá ngon cho số tiền bỏ ra dự tính đợi IP12 ra mua nhưng đợi lâu quá nên mua luôn pin thì phải nói trâu thật sự trước giờ sài IP chỉ e ngại khoảng pin nhưng từ khi đổi qua con này thì quá là tuyệt vời nếu có tiền mọi người nên mua con này sài ít xuống máy ít rớt giá cấu hình này sài thoải mái thêm 3-4 năm nữa😍😍😍😍,5/5
"Máy pin rất trâu, cấu hình rất mượt, chơi game không cảm giác giật gì cả. Mọi thứ Ok cho 5 sao",5/5
Mới dùng từ 21/9 đến nay 30/9 mà mất 3% pin là sao vậy ad ơi 2 ngày sạc 1 lần nhé,2/5
Ko quan trọng đâu bạn... dùng tẹt ga đê,0/5
"Đừng để pin xuống dưới 20% mới sạc ạ như thế không tốt , cũng đừng sạc quá đầy thì pin sẽ lâu chai hơn ạ ",0/5
"Hiệu nămg thì ổn mà dung lượng pin xuống chóng mặt, mua từ t2 cho tới giờ giảm hơn 10% pin, thời gian sử dụng cũng bị rút ngắn đi nhiều",3/5
Điên thoại chuẩn. Chuân bị đổi cái mới . Mới xài chưa tuần mà đổi mới 1 lần rồi. Giờ chuân bị đôi lần nữa kkk. Nô chung đông này xài ngon mượt,5/5
ĐIỆN THOẠI SAMSUNG GALAXY NOTE 10 PLUS . SỬ DỤNG RẤT OK. NHẤT LÀ DÙNG VIẾT VĂN BẢN VÀ GHI NHẬT KÝ RẤT TIỆN. KHÔNG CẦN DÙNG SỔ SÁCH CẦM TAY RẤT BẤT TIỆM.,5/5
ĐIỆN THOẠI SAMSUNG GALAXY NOTE 10 PLUS . SỬ DỤNG RẤT OK. NHẤT LÀ DÙNG VIẾT VĂN BẢN VÀ GHI NHẬT KÝ RẤT TIỆN. KHÔNG CẦN DÙNG SỔ SÁCH CẦM TAY RẤT BẤT TIỆM.,5/5
Sản phẩm không có gì để chê. Dùng các sản phẩm của Apple và Samsung đã quá nhiều rồi nên khi chuyển qua P40 Pro cho cảm giác trải nghiệm khác hẳn. Sẽ vẫn ủng hộ Huawei lâu dài.,5/5
"Rất tốt, nhân viên nhiệt tình lắm, lấy máy chiều hôm qua,toi về nhìn thấy vết sướt, sáng qua đoi máy khác ngay, nhân viên 333 hoàng liên sơn ,lao Cai.",4/5
"Đúng dùng khá ưng, nhất là phần pin, chụp ảnh khá ổn, nhất là không bị nóng máy",0/5
19 triệu bị điên mà mua cái điện thoại này. Từng đó tiền mua được ss not20 rồi. Thừa tiền mua cái này thôi.  Gần 20 triệu mà màn hình fulhd.con này chỉ 8 triệu thôi. ,2/5
"Đúng đó bạn, nó bị ngáo giá hay gì ạ, 5 triệu k biết mua k nữa",0/5
5 triệu của mày lớn quá cầm ra chưa chắc mua đc con chíp 5G của nó 😀😀,0/5
Cái này tầm 13 triệu là mua sài ngon rồi. Chớ 19 triệu thì thôi,0/5
"Lần đầu tiên mình xài Samsung và đã mua con máy này 1 tháng 10 ngày , nói chung tất cả đều ổn , êm mượt :)",5/5
"Nói chung Note20Ultra không gì bàn cãi, 5 sao nhân viên tư vấn nhiệt tình thân thiện chăm sóc khách hàng tốt",5/5
"Đã được hỗ trợ, sản phẩm dùng tốt, pin trâu, đã dùng tốt hơn rất nhìu cảm ơn Tgdd. Note20 xài okkk lắm mọi người ơi, mình từ Iphone XS Max chuyển sang.",5/5
"Lướt quá đã, xứng đáng đồng tiền bỏ ra. Camera chụp sắc nét thật.tuyệt vời cho 1 sản phẩm 30tr",5/5
Nhận máy hơn 2 tuần.. mọi thứ đều ổn.. mượt. Xuất sắc luôn... trước xài iphone chuyển qua N20 ultra lướt sướng luôn áh 😍😍😍,5/5
"Siêu phẩm!!! Nhân viên online tư vấn nhiệt tình. Mình mua online giao tận nơi rất uy tín . Máy sử dụng rất tốt. N20 untra đúng là ấn tượng pin RẤT XỊN (mấy má bật full màn hình, full tốt độ 120 rồi la hao pin vãi thật). Màn hình xuất sắc . Nhu vay thì ok rồi cảm ơn ad.",5/5
Mình vừa lấy ss note 20 ultra đc 3 ngày. Tất cả đều ok. Riêng phần chức năng chụp ảnh mình rất thất vọng. Mih là ng chụp cận cảnh rất nhìu mà từ khi dùng ss note 20 ultra là k chụp đc gì cả. Hình ảnh bị nhòe. Dung chức năng zoom tầm 15p thì máy rất rất là nóng. Chụp ảnh còn thua cả ss note 10 plus mình xài trc kia. Mong bên Samsung sẽ có biện pháp hoặc trả lời ra sao. ,2/5
"Đã mua bản 255gb. Nói chung dùng tuyệt vời. 
Mỗi tội mua kính cường lực của thêgioididong hai lần mà chỉ được hai ngày, lỡ rơi cái là bể kính. Chỉ rơi một lần ko quá mạnh là bể kính luôn. Thể mà ko được bảo hành. Hic. Quá tệ. Nên khuyên chân thành ko nên mua miếng dán cường lực ở thegioididong. ",5/5
"Iphone 11 pro sài rất là ok .tôi đã sài trải nghiệm 11 ngày ..nhưng bây giờ mình muốn lên 11 Pro Max nên mình ra lại con máy 11 Pro của mình.
Tình trạng Pin còn 100% máy còn nguyên như mới k trầy xước gì cả có ai quan tâm thì bấm ",5/5
Bn ạ?,0/5
Mua được 1 thag. Dung lượng pin giảm còn 99 %.Vậy mấy có vấn đề gì k ạ. K sạc qua đêm.,3/5
"Mua từ 21/9 á, đang dùng ios 14 ko",0/5
"b mới dùng đc 1 tuần à, đang dùng ios 14 ko",0/5
Anh mua máy cũ hay mới ạ!!!,0/5
"Đừng lên ios 14 mà hại pin,ios 14 gây nóng máy tuột pin nhanh làm giảm hiệu năng của Pin",0/5
Sau 7 tháng mình xài máy chạy rất ổn định. Dung lượng pin tối đa vẫn 100%. Camera trước chụp ko dc đẹp lắm ,4/5
"Chào anh,Dạ cám ơn mình đã quan tâm sử dụng và có đánh giá tốt về sản phẩm của Thế giới di động, mong mình sẽ có trải nghiệm tốt khi sử dụng sản phẩm lâu dài ạ. Hân hạnh phục vụ và đồng hành cùng Quý khách ạ.Thông tin đến anh.",0/5
Bạn cho mình xin công thức pin đừng chai đc kh. Mình 8 tháng còn  95% pin. :<,0/5
"Ngon thật, không có gì để phàn nàn, thiết kế đơn giản, không quá cầu kỳ, màn hình sexy, Cam khá ngon, mượt mà thì khỏi bàn với Oneplus.",5/5
"Đã xài 1 tháng  nên giờ mới đánh giá xíu , Pin ổn , để chế độ màu đẹp nhất , mượt nhất nói chung là cao nhấ trong 1 tháng qua + chơi game vừa phải và nghe nhạc nữa thì trung bình 1 ,5 ngày mới phải sạc 1 lần , sạc nhanh ko dây (quà kèm theo đó) khoang 50_ 60 phút max pin . phụ kiện tai nghe kèm theo ok nhé  , khá là tiện tự kết nối khi mở nam châm ra nhé , pin tai nghe khá trâu nhé ,dây đeo qua cổ ổn vì tự co lại theo vòng cổ . Về trải nghiệm máy thì khá thoải mái dùng lâu không mỏi mắt , nhạy , không lag không đơ nói chung là OK ( vì xài 1 tháng chưa thấy hiên tượng gì hết ) .chụp ảnh thì ổn ( với mình thôi nhé , vì không quá cầu kỳ món này ) . chỉ không khoái cái màn hình cong thôi , hơi sexy . không phải dân chuyên nghiệp nên đánh giá theo dân thường dùng và cảm nhận thôi nhé ^^ ! ",5/5
Sản phẩm quá tuyet vời chả có j phải nói nữa . Nó quá tuyệt . Khoái bộ sạc kh dây có quạt tản nhiệt ngon vãi . Tay nghe thi quá ok lun . Dt thi chuẩn cao cấp lun . Kết luận la quá tuyệt.  Se la fan của one plus trong tươbg lai ,5/5
bạn bè nào mà giám mua,0/5
"Đang sài iphone 11 mà thấy con này đẹp quá nên mua luôn, chẳng biết ngon hay ko nhưng mà đẹp là phải mua, máy quá đẹp",5/5
"Sau 19 ngày sử dụng cảm thấy rất hài lòng, chất lượng máy quá xuất sắc, trên cả tuyệt vời, pin ổn tầm 5 đến hơn 6 giờ liên tục tùy tác vụn trong mắt tôi note 10+ vẫn là đỉnh nhất mặc dù đả ra đời note 20",5/5
"Lần đầu tiên sài dòng note 10plus của samsung. Ko điểm gì để chê. Chỉ có điều Pin ở mức ổn, đủ dùng ko trâu như mấy ông riview ",5/5
Mình mới cập nhật phần mềm. Trên thanh trạng thái hiện thị cái sát bên cột sóng là gì vậy ạ 😂 . Tìm chỗ tắt mà k đc  . Samsung galaxy note10+,2/5
Ko có google ko gmail. Ko facebok ko youtube tải ứng dựng các thứ từ bên t3 về ko sợ chúng nó ăn cắp mk các tk ngân hàng hay hình ảnh các dữ liệu trên máy à bạn? Sao bạn rốt thế? Tham đồ rẻ trải nghiệm tốt? Sau 1 đêm ngủ dậy tự dưng tiền trong tk ko cánh mà bay,0/5
"Thật ra bạn mới là rốt đó, nếu ko tin tưởng file APK thì có thể cài google, chplay về mà tải ",0/5
"Thiết kế quá đẹp, cấu hình tốt. Từ hồi ra mắt P30 mình đã có dự định hốt huawei rùi. Quả nhiên nếu Huawei không bị ngáng chân chắc chắn số 1 về thị trường Android từ năm 2019.",5/5
"80% bán tại nước nhà, mà nhiều bạn trẻ cứ ảo tưởng",0/5
Cái mà bạn gọi là nước nhà mỗi năm doanh thu cho apple hơn 40 tỷ usd đấy ,0/5
"Thiết kế quá đẹp, Huawei luôn dẫn đầu về thiết kế, chỉ nhìn một lần đã thấy hút mắt. Qúa đẹp.",5/5
"Màn hình quá đẹp, đừng ai đem so với iphone nha, mình so sánh rồi đẹp hơn iphone và samsung. Pin thì nói chung chưa dc trâu lắm, nhưng vẫn dùng liên tiếp cả ngày mới hết cạn pin. Mà đã có sạc nhanh 30 phút đầy thì ko lo. Loa kép 1 cái trên 1 cái dưới âm thanh nghe rất hay. Màn 120hz mượt quá đáng, có điều nếu bật thì hơi tốn pin nên để ở chế độ tự động . Chip snap thì game quá mượt, đã test hết game liên quân, Pubg, Cod, Honkai impact, ko hề tuột. Sóng lúc nào cũng đầy ko bị yếu sóng.  Cảm ứng nhạy. Điểm yếu thì chỉ có về phần hệ điều hành color os có nhìu cái chưa bằng được của samsung nhưng mượt.",5/5
Riêng mik thấy giao diện dùng mượt và trực quan hơn one ui,0/5
Màn hình đẹp hơn s20 của ss đúng là cười ỉa...bạn nên tham khảo qua các bài đánh giá màn hình của báo quốc tế nhé ,0/5
màn hình Find X2 đẹp hơn cả S20 Ultra chứ ở đó mà S20 đòi sánh vai,0/5
"Giá đó thì mắc thiệt, nhưng mà SS không có cửa so với nó",0/5
"Vivo lên đôi rồi đắt hơn cả iPhone
Chip tâm chúng mà giá trên troi cha có gì đột pha chụp ảnh ừ có bằng iPhone ko",1/5
"A ơi androi s so sánh với hđh của iphone đc a???. Muốn so sánh thì so ngang tầm như samsung, oppo, xiaomi thì đc",0/5
Công nhận vãi thật. So sao dk Samsung với giá trên trời này chỉ có IPhone thôi mà dt này vivo chỉ để trưng bày xem phản ứng khách hàng chứ thực ra ra hãng cũng k nghĩ j doanh số sợ quá,0/5
Chip thì yếu. Màn chỉ full hd+ . ko kháng nước. Mặt lưng nhựa .  mỗi cái cam 20 củ :))),1/5
Tuyệt vời xem youtube lướt web nhanh chụp ảnh đẹp pin dùng ok trong khoảng 1 ngày mọi thứ đều tạm ổn,5/5
"Chào các anh trị QTV, Note20 ultra mới mua, em sạc pin 98% , tắt hết ứng dụng, 3G, Wifi và để qua đêm pin tụt còn 91%, như vậy có phải pin có vấn đề k ạ",4/5
Dùng iPhone 8 năm rồi nhưng qua samsung cảm thấy mọi thứ đều tuyệt vời không bị tù túng ức chế nhiều cái như iPhone. Không muốn quay lại iPhone nữa,5/5
"Đã mua và đang xài bản xách tay Hồng Kông,Chip Snapdragon. Pin k trâu bằng Note 10+ N9760. Nhưng xài trên 1 ngày là ok rồi. Rất hài lòng.",5/5
Tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường Kính Dương Vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,1/5
Nhìn chip là đã k thích rồi...chíp chán giá thì quá cao..tôi dùng 4 đời samsung và sau lại quay lại iphone,3/5
"Máy Note20 chụp hình đẹp, màn hình theo mình thấy rất tuyệt vời. Pin dùng trâu bò cả ngày. Nói chung đáng mua trong tầm giá sau khuyến mãi.",5/5
"Chào quý khách, Thế giới di động sđã ghi nhận và chuyển bộ phận liên quan hỗ trợ quý khách. Cảm ơn quý khách.",0/5
"Chào Quý khách, Thế giới di động đã liên hệ và xử lý hoàn tất với quý khách. Xin cảm ơn",0/5
Note mói ra hôm qua. Mà hôm nay đả có hàng củ. Quá buồn note ơi...,0/5
"máy nhẹ cầm vừa tay chức năng mọi thứ đều ok, chụp hình đẹp ,pin ổn sử dụng tới tối cuối ngày còn 25% ",5/5
Mình đã lên đời note 20 sau hơn 1 tuần sử dụng mình thấy sản phẩm chạy rất tốt về mọi mặt nổi chội nhất là dùng cho những ứng dụng dân văn phòng thì dòng note này phải nói tuyệt vời chỉ tiếc k đủ tiền lên note utra thôi,5/5
Hài lòng về sản phẩm. Mọi thứ đêu rât tốt nghe nhạc xem phim chơi game âm thanh to và hay ,5/5
"Mới mua hơn một tuần tại ĐMX . Trải nghiệm sản phẩm sau một thời gian, mình cảm thấy mọi thứ đều rất OK. Hình ảnh đẹp, pin thì trâu bò, chơi game rất mượt, chụp ảnh ban đêm thì rất đẹp, dung lượng lớn lưu trữ rất thoải mái, nhân viên thì nhiệt tình . không hể chê vào đâu được, mọi người nên rinh cho mình một em để trải nghiệm. ",5/5
"Xứng đáng bỏ từng ấy tiền ra. Chẳng chê đc cái gì, nghe gọ,i nhắn tin, đọc báo, xem phim, chơi game, nghe nhạc, chụp ảnh, thiết kế đều tốt",5/5
"Mua 1 tuần lỗi đang gọi tắt nguồn lúc bị lúc ko,pin 3 4% tắt nguồn ln,pin yếu quá .kĩ thuật kiễm tra cài phần mềm cong vẫn vậy.mua thì dễ đổi hàng thì khó.
Thất vọng điện máy xanh Hồ Học Lãm phường an lạc. Bình Tân.",1/5
Bạn cứ mang thẳng ra ngoài đó. Bắt phải đổi cái khác. Ko sửa hay khắc phục gì hết. Vì bên này cam kết đổi trong 1 tháng niếu hàng lỗi mà.,0/5
điện thoại đẹp....cầm nắm chắc tay .kích thước nhỏ gọn .camera chụp hình đẹp.........nhân viên tggd 358 lê văn việt rất nhiệt tình,5/5
Sản phẩm tốt. Pin khoẻ. Quá tuyệt vời. Chắc best trong tầm giá rồi. Đã mua và sử dụng hơn 4 tháng,5/5
Điện thoại đẹp...cấu hình ổn...nhưng pin thì để wa đêm tụt 15%...có ai bị giống tôi không?,4/5
đúng rồi . tôi cũng vậy. để qa đêm pin tuột như bị hư pin,0/5
"Pin nào xài 7th còn 100% ông, hình ông chụp mới mua thì có",0/5
"Bạn sạc điện thoại đừng sạc tới 100% nha. Sạc tới 80-95% thì hãy rút sạc. Đừng để pin cạn sạch mới sạc, dưới 30% thì hãy sạc liền. Nói chung khi nào rảnh thì sạc cũng dc, làm vậy pin rất lâu chai. Giống như bạn ăn quá no thì sẽ bị đau bụng, pin nó cũng vậy. Hình mình vừa chụp cách đây vài hôm nhé.",0/5
"Iphone của apple thì k chê được rồi chê mỗi pin của iphone thì tất cả đều dung lượng thấp và từ iphonex không còn cảm biến vân tay nếu kết hợp cả vân tay và face id Và nâng thêm dung lượng pin thì hoàn hảo android không bao giờ theo kịp kk
Ảnh mÌnh chụp thử nghiệm thôi nhé 😆",5/5
Gà còn bày đặt :) mua XR XsMax 11 hay 11 pro ma xem pin nó có yếu không? :₫,0/5
7nam sai chua tụt % nào ,0/5
"Đúng toàn thánh ,dùng 11pro đi ạ rồi hãy đánh giá",0/5
Thử 11 pro max xem pin yếu ko mà tự nhiên có face id rồi thêm vân tay vô làm j ,0/5
"Mới mua chưa đc 1 tháng tụt 2% pin.chỉ nghe gọi,thỉnh thoảng youtube.còn lại ok.",3/5
Con này đỉnh cao đấy. Sử dụng k phải nghĩ. Hdh tối giản nên rất nhanh mỗi tội là vì tối giản quá nên k phục vụ công việc đc,5/5
Bác tính dùng nó để điều khiển tên lửa hành trình hay sao mà vẫn chưa phục vụ cho công việc được vậy?,0/5
"Smatphone cao cấp mà không phục vụ công việc là sao nhỉ, thật khó hiểu. Không biết bạn làm việc gì?",0/5
"Công việc ở đây là ghi chú nhanh , scan văn bản bằng camera đó mấy thanh niên, chắc mấy thanh niên toàn mua máy để chơi game",0/5
Cười ẻ với công việc của bạn Tú há há,0/5
"Máy sử dụng gần 1 tháng quá tuyệt vời. 2 ngày đầu tiên đt hao pin kinh khủng xài mới 6 tiếng, on screen 4 tiếng là đã hết. Tuy nhiên sau khoảng 1 tuần thì thời gian on screen được khoảng 8 tiếng, xài gần 20 tiếng còn 10% pin lúc này mình cắm sạc.

Camera tuyệt đẹp khỏi chê, có lỡ tay làm rớt vài lần từ giường xuống đất nhưng vẫn ngon ơ bóng bẫy. Những trải nghiệm khác cũng cực kì mượt mà và thoải mái.

Mua được con này với giá giảm còn 15,990,000 là quá hời rồi ^^",5/5
Cái đó là dịch vụ gọi điện tốc độ cao của viettel tắt đi làm gì nếu muốn tắt thì vào chỗ kết nối tìm các mạng di động ấn vô thấy cuộc gọi Volte tắt đi là xong ,0/5
"cái đó là mạng volte á bạn không sao đâu cái đó giúp âm thanh cuộc gọi tốt hơn, muốn tắt bạn vô quản lý sim ấy rồi tắt nhé.",0/5
Vol lte ah ban,0/5
"VoLte, gọi điện qua Lte. Tắt chả giải quyết gì. Vào quản lý SIM có chỗ tắt đó bạn.",0/5
"Thay vì lên đây hỏi, sao bạn không tìm thông tin trên Internet.",0/5
"Ko có Google play game thì cũng khó chịu.mình thử tải Google play game về nó buộc đóng và ko thể tham gia game hoặc tài khoản gmail để cập nhật dữ liệu trò chơi.camera đẹp,máy đẹp đáng buồn ",1/5
"Nghe không có google,chplay là chán rồi ae nên cân nhắc kĩ trước khi mua, tầm tiền này mua samsung hơn",1/5
"pin Find X2 mà bạn trẻ xài liên tục cả ngày mới hết, vừa vừa thôi",0/5
"Pin thì nếu để ở chế độ màn tự động thì 100% từ 7h sáng tới 9h tối là còn 8% nhé. Mình xài cũng nhìu vì cả ngày cập nhật hàng bằng dt. Chơi game hoặc xem phim thì mới mau hết nha chế, còn màn thì bạn nên  cầm 2 cái dt xem mới thấy nha. ",0/5
"Trải nghiệm sau 1 năm liên tục. Lúc đó hãy đem ra so sánh, chuẩn hơn. ",0/5
"Sản phẩm quá tuyệt vời.ko còn gì để mà chê.vậy mà mấy người cứ chê tạo lao.
Mấy bé ở TGDD tại điện biên nhiệt tình,dễ thương.",5/5
nhìn hết bình luận xem có ai chê không?,0/5
Kaishin Ha đọc thảo luận đi b,0/5
"Giá 20 triệu mà màn hình FHD+ 
Con chíp 765G 
Như vậy là quá đắt rồi...với mức giá này thid mua samsung S20 dùng sẽ tốt gơn hoặc iphone XS mới dùng chất lượng hơn nhiều",2/5
" t dùng qua 2 máy của vivo rồi thì thấy nó ko thua gì ip đâu, pin xài ko chai luôn ấy, trong khi con ip 8plus dùng 5 tháng đã chai concf 75% pin, dùng cũng chẳng được bao lâu, pin vivo trâu hơn, máy samsung dùng tầm 2 năm trở lên là bị giật nhưng vivo thì chưa",0/5
"Cấu bình như này giá 20tr chắc dành tặng cho nhân viên ViVo sài , chứ giá như này thà mua mấy con Mi 10pro ss còn tốt hơn ^^",1/5
Mặt lưng nhựa giả kính .cấu hình các thứ không thể bằng iPhone 11 hay Samsung Note 10+ mà giá lên trời. Mọi người nên cân nhắc so sánh. Một điểm trừ nữa là k hỗ trợ thẻ nhớ nhé. ,1/5
"Camera đẹp lắm . Game thì khỏi chê . Pin xài khi chơi game khá lâu sạc nhanh . 1 tuần sử dụng thấy rất ổn còn về sau thì ko biết nhưng với thương hiệu samsung thì mình hoàn toàn tin tưởng .

",5/5
"Cảm ứng nhạy . camera và màn hình rất đẹp . spen hỗ trợ tối da trong c việc văn phonh

",5/5
Còn này quá đẹp và thiết kế chi tiết sắc nét.chắc phải làm em này luôn và ngay thôi.,5/5
"Moi mua ở TGDĐ 2ngày chưa dùng nhiều nên ko đánh giá được gi nói chung mày sài tạm ổn, nhân viên tư vẫn rất nhiệt tình, chu đáo ",4/5
"Pin quá kém. Quảng cáo thì hơn note 10 mà thực tế dùng thì k bằng 2/3 note 10. 1 tiếng tụt 10% pin khi chỉ xem 1 vài cái tin nhắn zalo, để nói time sáng màn hình chắc đc 5p. Sai lầm ",3/5
Ko. Chỉ tụt 2%,0/5
Chả bị gì pin miễn chê,0/5
"Mình cũng zậy , pin giảm ầm ầm",0/5
"Quá hài lòng về sản phẩm iphone 11 pro 64G 
Hài lòng với nhân viên tư vấn và cách phục vụ ở thế giới di động 161 Lê Văn Việt Quận 9 .
Còn trải nghiệm lâu dài thì để từ từ mình đánh giá lại sau trước tiên cho 5 sao đã :)",5/5
"thỉnh thoảng xài youtube,nghe gọi cũng đua đòi iphone làm gì?:))",0/5
Hay quá kkk :)),0/5
"có tiền thì ta mua, có ""diên"" chết liền =)))",0/5
Mua mới mà bị tụt pin nhanh vậy á bạn Giờ bn % r bạn,0/5
mua đồ dựng rồi :) mình dùng 6 tháng mới tụt 1%,0/5
Quá tuyệt vời. Noi chung qua muon cho 1 điêu hành góc. Ai chua trải nghiêm thi ra quât 1 em vê ma trải nghiêm nhé ,5/5
quá dư tiền mới mua,0/5
"Chơi game rất mượt, Sạt pin nhanh chỉ 55 phút từ 20% đến 100%. Cách thức trao sản phẩm bằng hộp quà rất ấn tượng. Nói chung sản phẩm này sử dụng rất ngon cho đến hiện tại. Còn nữa các em nhân viên tư vấn rất nhiệt tình.",5/5
