,Comment,Rating
12,điện thoại xs mình mua từ 03 09 20 den nay chưa đến 1 tháng mà bin đã tụt còn 98 mình ko dùng máy nhiều vì đang dùng song song cùng 1 máy cũ nữa chỉ nghe gọi zl fb và ko chơi game ios thì vẫn nguyên bản chưa nâng cấp sao dung lượng bin tối đa lại tụt nhanh vậy ạ,Normal
13,mình đang dùng iphone 11 mà thấy samsung note 10 này đẹp quá nên phải mua luôn máy quá đẹp 100đ hiệu năng thì chưa biết như thế nào nhưng mà đẹp cảm thấy đẹp nhất trong tất cả các loại máy,Positive
14,nhiều bạn chưa dùng mà chê nhiều quá điện thoại bây giờ đâu chỉ so sánh mỗi cấu hình đâu phải ai mua máy cũng chỉ để game đâu đáng giá của x50 pro này là camera chứ đâu phải cấu hình,Positive
15,sản phẩm tuyệt vời thiết kế đẹp tinh tế pin trâu mổi người tùy sở thích không xài thì để người ta mua đừng có chê bai thậm thế mấy thánh nhiều khi mấy thánh chưa mua điện thoại mà đã nhảy vô chê rồi làm hoan mang những người khác thiệt là ăn không được phá cho hôi đây mà,Positive
16,phải công nhận là mượt mỗi tội điều ko tránh khỏi là pin quá yếu dùng rất nhanh nóng máy mặc dù ở trong phòng bật điều hoà như kiểu sắp nổ ý ai có ý định mua để chơi game thì nên bỏ máy rất nhanh nóng khi chơi game nặng,Normal
17,máy cấu hình mạnh năm nay chip exynos tối ưu hóa tốt hơn s20 pin trâu tôi xài gần 2 ngày mới sạc pin hiệu năng thì ko còn j để chê,Positive
18,quá ngon cho số tiền bỏ ra dự tính đợi ip12 ra mua nhưng đợi lâu quá nên mua luôn pin thì phải nói trâu thật sự trước giờ sài ip chỉ e ngại khoảng pin nhưng từ khi đổi qua con này thì quá là tuyệt vời nếu có tiền mọi người nên mua con này sài ít xuống máy ít rớt giá cấu hình này sài thoải mái thêm 3 4 năm nữa,Positive
19,máy pin rất trâu cấu hình rất mượt chơi game không cảm giác giật gì cả mọi thứ ok cho 5 sao,Positive
20,hiệu nămg thì ổn mà dung lượng pin xuống chóng mặt mua từ t2 cho tới giờ giảm hơn 10 pin thời gian sử dụng cũng bị rút ngắn đi nhiều,Normal
21,điên thoại chuẩn chuân bị đổi cái mới mới xài chưa tuần mà đổi mới 1 lần rồi giờ chuân bị đôi lần nữa kkk nô chung đông này xài ngon mượt,Positive
22,sử dụng rất ok,Positive
23,sản phẩm không có gì để chê dùng các sản phẩm của apple và samsung đã quá nhiều rồi nên khi chuyển qua p40 pro cho cảm giác trải nghiệm khác hẳn sẽ vẫn ủng hộ huawei lâu dài,Positive
24,rất tốt nhân viên nhiệt tình lắm lấy máy chiều hôm qua toi về nhìn thấy vết sướt sáng qua đoi máy khác ngay nhân viên 333 hoàng liên sơn lao cai,Positive
25,lần đầu tiên mình xài samsung và đã mua con máy này 1 tháng 10 ngày nói chung tất cả đều ổn êm mượt,Positive
26,nói chung note20ultra không gì bàn cãi 5 sao nhân viên tư vấn nhiệt tình thân thiện chăm sóc khách hàng tốt,Positive
27,đã được hỗ trợ sản phẩm dùng tốt pin trâu đã dùng tốt hơn rất nhìu cảm ơn tgdd note20 xài okkk lắm mọi người ơi mình từ iphone xs max chuyển sang,Positive
28,lướt quá đã xứng đáng đồng tiền bỏ ra camera chụp sắc nét thật tuyệt vời cho 1 sản phẩm 30tr,Positive
29,nhận máy hơn 2 tuần mọi thứ đều ổn mượt xuất sắc luôn trước xài iphone chuyển qua n20 ultra lướt sướng luôn áh,Positive
30,siêu phẩm nhân viên online tư vấn nhiệt tình mình mua online giao tận nơi rất uy tín máy sử dụng rất tốt n20 untra đúng là ấn tượng pin rất xịn mấy má bật full màn hình full tốt độ 120 rồi la hao pin vãi thật màn hình xuất sắc nhu vay thì ok rồi cảm ơn ad,Positive
31,mình vừa lấy ss note 20 ultra đc 3 ngày tất cả đều ok riêng phần chức năng chụp ảnh mình rất thất vọng mih là ng chụp cận cảnh rất nhìu mà từ khi dùng ss note 20 ultra là k chụp đc gì cả hình ảnh bị nhòe dung chức năng zoom tầm 15p thì máy rất rất là nóng chụp ảnh còn thua cả ss note 10 plus mình xài trc kia mong bên samsung sẽ có biện pháp hoặc trả lời ra sao,Negative
32,đã mua bản 255gb nói chung dùng tuyệt vời mỗi tội mua kính cường lực của thêgioididong hai lần mà chỉ được hai ngày lỡ rơi cái là bể kính chỉ rơi một lần ko quá mạnh là bể kính luôn thể mà ko được bảo hành hic quá tệ nên khuyên chân thành ko nên mua miếng dán cường lực ở thegioididong,Positive
33,iphone 11 pro sài rất là ok tôi đã sài trải nghiệm 11 ngày nhưng bây giờ mình muốn lên 11 pro max nên mình ra lại con máy 11 pro của mình tình trạng pin còn 100 máy còn nguyên như mới k trầy xước gì cả có ai quan tâm thì bấm,Positive
34,sau 7 tháng mình xài máy chạy rất ổn định dung lượng pin tối đa vẫn 100 camera trước chụp ko dc đẹp lắm,Positive
35,ngon thật không có gì để phàn nàn thiết kế đơn giản không quá cầu kỳ màn hình sexy cam khá ngon mượt mà thì khỏi bàn với oneplus,Positive
36,đã xài 1 tháng nên giờ mới đánh giá xíu pin ổn để chế độ màu đẹp nhất mượt nhất nói chung là cao nhấ trong 1 tháng qua chơi game vừa phải và nghe nhạc nữa thì trung bình 1 5 ngày mới phải sạc 1 lần sạc nhanh ko dây quà kèm theo đó khoang 50_ 60 phút max pin phụ kiện tai nghe kèm theo ok nhé khá là tiện tự kết nối khi mở nam châm ra nhé pin tai nghe khá trâu nhé dây đeo qua cổ ổn vì tự co lại theo vòng cổ về trải nghiệm máy thì khá thoải mái dùng lâu không mỏi mắt nhạy không lag không đơ nói chung là ok vì xài 1 tháng chưa thấy hiên tượng gì hết chụp ảnh thì ổn với mình thôi nhé vì không quá cầu kỳ món này chỉ không khoái cái màn hình cong thôi hơi sexy không phải dân chuyên nghiệp nên đánh giá theo dân thường dùng và cảm nhận thôi nhé,Positive
37,sản phẩm quá tuyet vời chả có j phải nói nữa nó quá tuyệt khoái bộ sạc kh dây có quạt tản nhiệt ngon vãi tay nghe thi quá ok lun dt thi chuẩn cao cấp lun kết luận la quá tuyệt se la fan của one plus trong tươbg lai,Positive
38,đang sài iphone 11 mà thấy con này đẹp quá nên mua luôn chẳng biết ngon hay ko nhưng mà đẹp là phải mua máy quá đẹp,Positive
39,sau 19 ngày sử dụng cảm thấy rất hài lòng chất lượng máy quá xuất sắc trên cả tuyệt vời pin ổn tầm 5 đến hơn 6 giờ liên tục tùy tác vụn trong mắt tôi note 10 vẫn là đỉnh nhất mặc dù đả ra đời note 20,Positive
40,lần đầu tiên sài dòng note 10plus của samsung ko điểm gì để chê chỉ có điều pin ở mức ổn đủ dùng ko trâu như mấy ông riview,Positive
41,thiết kế quá đẹp cấu hình tốt từ hồi ra mắt p30 mình đã có dự định hốt huawei rùi quả nhiên nếu huawei không bị ngáng chân chắc chắn số 1 về thị trường android từ năm 2019,Positive
42,thiết kế quá đẹp huawei luôn dẫn đầu về thiết kế chỉ nhìn một lần đã thấy hút mắt qúa đẹp,Positive
43,màn hình quá đẹp đừng ai đem so với iphone nha mình so sánh rồi đẹp hơn iphone và samsung pin thì nói chung chưa dc trâu lắm nhưng vẫn dùng liên tiếp cả ngày mới hết cạn pin mà đã có sạc nhanh 30 phút đầy thì ko lo loa kép 1 cái trên 1 cái dưới âm thanh nghe rất hay màn 120hz mượt quá đáng có điều nếu bật thì hơi tốn pin nên để ở chế độ tự động chip snap thì game quá mượt đã test hết game liên quân pubg cod honkai impact ko hề tuột sóng lúc nào cũng đầy ko bị yếu sóng cảm ứng nhạy điểm yếu thì chỉ có về phần hệ điều hành color os có nhìu cái chưa bằng được của samsung nhưng mượt,Positive
44,vivo lên đôi rồi đắt hơn cả iphone chip tâm chúng mà giá trên troi cha có gì đột pha chụp ảnh ừ có bằng iphone ko,Negative
45,chip thì yếu màn chỉ full hd ko kháng nước mặt lưng nhựa mỗi cái cam 20 củ,Negative
46,tuyệt vời xem youtube lướt web nhanh chụp ảnh đẹp pin dùng ok trong khoảng 1 ngày mọi thứ đều tạm ổn,Positive
47,dùng iphone 8 năm rồi nhưng qua samsung cảm thấy mọi thứ đều tuyệt vời không bị tù túng ức chế nhiều cái như iphone không muốn quay lại iphone nữa,Positive
48,đã mua và đang xài bản xách tay hồng kông chip snapdragon pin k trâu bằng note 10 n9760 nhưng xài trên 1 ngày là ok rồi rất hài lòng,Positive
49,tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường kính dương vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi,Negative
50,nhìn chip là đã k thích rồi chíp chán giá thì quá cao tôi dùng 4 đời samsung và sau lại quay lại iphone,Normal
51,máy note20 chụp hình đẹp màn hình theo mình thấy rất tuyệt vời pin dùng trâu bò cả ngày nói chung đáng mua trong tầm giá sau khuyến mãi,Positive
52,máy nhẹ cầm vừa tay chức năng mọi thứ đều ok chụp hình đẹp pin ổn sử dụng tới tối cuối ngày còn 25,Positive
53,mình đã lên đời note 20 sau hơn 1 tuần sử dụng mình thấy sản phẩm chạy rất tốt về mọi mặt nổi chội nhất là dùng cho những ứng dụng dân văn phòng thì dòng note này phải nói tuyệt vời chỉ tiếc k đủ tiền lên note utra thôi,Positive
54,hài lòng về sản phẩm mọi thứ đêu rât tốt nghe nhạc xem phim chơi game âm thanh to và hay,Positive
55,mới mua hơn một tuần tại đmx trải nghiệm sản phẩm sau một thời gian mình cảm thấy mọi thứ đều rất ok hình ảnh đẹp pin thì trâu bò chơi game rất mượt chụp ảnh ban đêm thì rất đẹp dung lượng lớn lưu trữ rất thoải mái nhân viên thì nhiệt tình không hể chê vào đâu được mọi người nên rinh cho mình một em để trải nghiệm,Positive
56,xứng đáng bỏ từng ấy tiền ra chẳng chê đc cái gì nghe gọ i nhắn tin đọc báo xem phim chơi game nghe nhạc chụp ảnh thiết kế đều tốt,Positive
57,mua 1 tuần lỗi đang gọi tắt nguồn lúc bị lúc ko pin 3 4 tắt nguồn ln pin yếu quá kĩ thuật kiễm tra cài phần mềm cong vẫn vậy mua thì dễ đổi hàng thì khó thất vọng điện máy xanh hồ học lãm phường an lạc bình tân,Negative
58,điện thoại đẹp cầm nắm chắc tay kích thước nhỏ gọn camera chụp hình đẹp nhân viên tggd 358 lê văn việt rất nhiệt tình,Positive
59,sản phẩm tốt pin khoẻ quá tuyệt vời chắc best trong tầm giá rồi đã mua và sử dụng hơn 4 tháng,Positive
60,iphone của apple thì k chê được rồi chê mỗi pin của iphone thì tất cả đều dung lượng thấp và từ iphonex không còn cảm biến vân tay nếu kết hợp cả vân tay và face id và nâng thêm dung lượng pin thì hoàn hảo android không bao giờ theo kịp kk ảnh mình chụp thử nghiệm thôi nhé,Positive
61,mới mua chưa đc 1 tháng tụt 2 pin chỉ nghe gọi thỉnh thoảng youtube còn lại ok,Normal
62,con này đỉnh cao đấy sử dụng k phải nghĩ hdh tối giản nên rất nhanh mỗi tội là vì tối giản quá nên k phục vụ công việc đc,Positive
63,máy sử dụng gần 1 tháng quá tuyệt vời 2 ngày đầu tiên đt hao pin kinh khủng xài mới 6 tiếng on screen 4 tiếng là đã hết tuy nhiên sau khoảng 1 tuần thì thời gian on screen được khoảng 8 tiếng xài gần 20 tiếng còn 10 pin lúc này mình cắm sạc camera tuyệt đẹp khỏi chê có lỡ tay làm rớt vài lần từ giường xuống đất nhưng vẫn ngon ơ bóng bẫy những trải nghiệm khác cũng cực kì mượt mà và thoải mái mua được con này với giá giảm còn 15 990 000 là quá hời rồi,Positive
64,ko có google play game thì cũng khó chịu mình thử tải google play game về nó buộc đóng và ko thể tham gia game hoặc tài khoản gmail để cập nhật dữ liệu trò chơi camera đẹp máy đẹp đáng buồn,Negative
65,sản phẩm quá tuyệt vời ko còn gì để mà chê,Positive
66,giá 20 triệu mà màn hình fhd con chíp 765g như vậy là quá đắt rồi với mức giá này thid mua samsung s20 dùng sẽ tốt gơn hoặc iphone xs mới dùng chất lượng hơn nhiều,Negative
67,cấu bình như này giá 20tr chắc dành tặng cho nhân viên vivo sài chứ giá như này thà mua mấy con mi 10pro ss còn tốt hơn,Negative
68,mặt lưng nhựa giả kính cấu hình các thứ không thể bằng iphone 11 hay samsung note 10 mà giá lên trời mọi người nên cân nhắc so sánh một điểm trừ nữa là k hỗ trợ thẻ nhớ nhé,Negative
69,camera đẹp lắm game thì khỏi chê pin xài khi chơi game khá lâu sạc nhanh 1 tuần sử dụng thấy rất ổn còn về sau thì ko biết nhưng với thương hiệu samsung thì mình hoàn toàn tin tưởng,Positive
70,cảm ứng nhạy camera và màn hình rất đẹp spen hỗ trợ tối da trong c việc văn phonh,Positive
71,còn này quá đẹp và thiết kế chi tiết sắc nét chắc phải làm em này luôn và ngay thôi,Positive
72,moi mua ở tgdđ 2ngày chưa dùng nhiều nên ko đánh giá được gi nói chung mày sài tạm ổn nhân viên tư vẫn rất nhiệt tình chu đáo,Positive
73,pin quá kém quảng cáo thì hơn note 10 mà thực tế dùng thì k bằng 2 3 note 10 1 tiếng tụt 10 pin khi chỉ xem 1 vài cái tin nhắn zalo để nói time sáng màn hình chắc đc 5p sai lầm,Normal
74,quá hài lòng về sản phẩm iphone 11 pro 64g hài lòng với nhân viên tư vấn và cách phục vụ ở thế giới di động 161 lê văn việt quận 9 còn trải nghiệm lâu dài thì để từ từ mình đánh giá lại sau trước tiên cho 5 sao đã,Positive
75,quá tuyệt vời noi chung qua muon cho 1 điêu hành góc ai chua trải nghiêm thi ra quât 1 em vê ma trải nghiêm nhé,Positive
76,chơi game rất mượt sạt pin nhanh chỉ 55 phút từ 20 đến 100 cách thức trao sản phẩm bằng hộp quà rất ấn tượng nói chung sản phẩm này sử dụng rất ngon cho đến hiện tại còn nữa các em nhân viên tư vấn rất nhiệt tình,Positive
77,ngon lành mượt màn 120hz hệ điều hành của oneplus thì khỏi bàn rồi cam con này được cải thiện hơn các thế hệ trước đó chụp đẹp loa to nghe phê nha quà tặng kèm chất lượng,Positive
78,máy đẹp pin trâu chụp hình cực xịn zom tốt sài siêu thích sẽ tiếp tục ủng hộ samsung,Positive
79,xài máy được 1 tuần máy thiết kế đẹp pin trâu cực lướt web chơi game cực đã 5 sao cho s20,Positive
80,sản phẩm sử dụng rất tốt nhân viên tư vấn nhiệt tình chu đáo mua hàng online giảm giá rất rẻ,Positive
81,sau hơn 1 tuần trải nghiệm và sử dụng thấy máy khá ok ổn mượt không có gì có thể làm chậm hay làm khó với con chip a12 bionic chụp ảnh đẹp và tiện lợi hơn là sử dụng 2 sim sóng sánh rất ok,Positive
82,sản phẩm ok trải nghiệm tuyệt vời các tác vụ rất hoàn hảo nhanh mượt đúng một flagship mình sẽ giới thiệu cho nhiều người,Positive
83,máy quá đẹp màn hình quá đẹp pin trâu cấu hình quá mạnh dùng phải nói là cực thích đổi note 10 để lấy s20 là sự lựa chọn sáng suốt,Positive
84,máy bao mượt mình tin các bạn mua máy nè sẽ phải hài lòng cầm nắm chắc chắn màn hình đẹp chơi game cực đỉnh,Positive
85,mình mua máy được 10 ngày trước đó dùng s8 ngoại trừ màn hình to hơn chứ k hẳn là nét hơn camera có góc chụp rộng zoom gần tốt hơn loa to hơn chứ k cũng hay hơn là mấy thì tất cả đều khiến mình thất vọng pin sụt rất nhanh sạc đầy 100 k làm gì cả qua 30p sụt 2 máy nhanh nóng đặc biệt khi sạc cũng nóng camera xấu nhất là selfie cảm ứng màn hình chậm và nhận diện vân tay kém sạc dù ghi là siêu nhanh nhưng để cùng với s8 so sánh thời gian thì như nhau nói chung mình là người chỉ sử dụng nhu cầu cơ bản thì mình thấy thất vọng chẳng lẽ sau mấy năm máy samsung đã k tiến bộ hơn còn kém đi,Negative
86,mọi thứ tương đối tốt nhung pin nhanh tụt chụp hình xấu tầm giá này z là ko ổn lắm,Positive
87,điện thoa i giá cao mà quay phim xấu tệ ko thể nao dien tả chụp hinh cung xấu màu cư ám đen vàng vàng,Normal
88,sau 10 ngày dùng có 1 vài nhận xét hiệu năng công việc rất ổn word excel point rất ok đa nhiệm thường dùng khoảng 5 8 ứng dụng và từ sáng đến chiều cũng không phải load lại thời lượng pin làm việc thường xuyên từ sáng 6h 18h chiều vẫn còn khoảng 35 pin và thường thì chỉ sạc trong khoảng 1h20p là đầy với sạc kèm máy máy cũng không có cảm giác nóng về kết nối thì khá là ổn định ở cả 2 băng tần wifi 2 4 và 5g tuy nhiên kết nối di động không được bằng đời note 5 và fe về camera tuy có phần hơi ảo tuy nhiên vẫn ổn hơn các dòng máy khác về âm thanh do có hỗ trợ của dolby atmos nên rất hay kể cả tai nghe hay loa ngoài về spen thì cây bút cầm có cảm giác trơn trượt hơn so với các dòng note trước và phần đầu bút có cảm giác hơi rít nhưng cơ bản vẫn trong khoảng chấp nhận được còn về các phụ kiện đi kèm thì cơ bản là mình không dùng đến nên chưa có nx đây là ý kiến cá nhân mình sau 10 ngày sử dụng,Positive
89,đã lấy sáng qua người đầu tiên lấy máy luôn nhân viên hỗ trợ tuyệt vời bỏ khoản giảm 3tr lấy cái tai nghe cũng đáng tiền đáng gạo mới 1 ngày chưa có gì để đánh giá về máy nhưng nói chung kiểu dáng thì ok pin tạm ổn duy nhất 1 điều trước dùng c9pro chạy karaoke now thu âm rất tốt còn ikara thì thu âm và nghe trực tiếp qua mic cũng ngon mà riêng em này thu âm chán mặc dù cùng 1 tài khoản kara đăng nhập trên 2 máy riêng ikara thì ko dùng đc thu âm rất bé dù là tai nghe dây theo máy hay tai nghe galaxy buds chính hãng thu âm nghe trực tiếp qua mic thì bị chậm phần mềm báo thiết bị của bạn không hỗ trợ nghe trực tiếp mà con c9pro thì thu âm rất ngon,Positive
90,máy đẹp mọi thứ điều ok sp xịn quá mua ở tgdđ là yên tâm nhất mua máy thứ 2 tại đây rồi,Positive
91,phục vụ tận tình chu đáo máy dùng tốt thêm chương trình giảm giá nữa quá tuyệt vời phải vào đánh giá ngay,Positive
92,đã mua và sử dụng máy mượt pin trâu camera ổn nhân viên tgdd 340 342 võ văn ngân thủ đức tuyệt vời nhất là bạn quản lý nữ tên linh đã trực tiếp hỗ trợ mình làm mình cảm thấy cực kỳ hài lòng cảm ơn bạn rất nhiều sẽ tiếp tục ủng hộ tgdd trong thời gian tới,Positive
93,quá đỉnh quá tuyệt vời chụp hình super đẹp nhất là ban đêm mọi tác vụ quá êm quá hài lòng,Positive
94,iphone 11 pro sài rất là ok tôi đã sài trải nghiệm 11 ngày nhưng bây giờ mình muốn lên 11 pro max nên mình ra lại con máy 11 pro của mình tình trạng pin còn 100 máy còn nguyên như mới k trầy xước gì cả có ai quan tâm thì bấm,Positive
95,dây sạc rất nhanh và tiện lợi chất lượng tốt ổn định vầ cách phục vụ nhân viên rất tốt,Positive
96,sản phẩm chất lượng sạc ổn định chính sách bảo hành tốt nhân viên phục vụ nhiệt tình,Positive
97,sản phẩm sử dụng sạc nhanh cường độ dòng điện tốt tốc độ sạc nhanh hơn cả sự mong đợi ok và rất tuyệt vời,Positive
98,sản phẩm sử dụng ok không có bị kén chọn sản phẩm nào hết cả sạc máy nào cũng vô pin hết cả không có lỗi hay gặp vấn đề gì cả,Positive
99,quá đẹp chụp ảnh sắc nét mượt pin tốt chất lượng nhân viên nhiệt tình tận tâm,Positive
100,mua được 2 tháng sài rất ok nhỏ gọn thích hợp cho bạn nữ nào thích sự nhỏ nhắn xinh xắn rất tiếc giờ lại ko bán xs nữa,Positive
101,sử dụng được 8 tháng chai 7 pin dùng rất tốt mua lúc nó còn giá 27tr999 nhưng giờ thấy sản phẩm bị tụt giá mà buồn ghê gớm,Positive
102,mua chưa được 2 tháng pin còn 96 hizza mười 17 củ mà cùi quá sài một năm chắc bỏ luôn quá,Negative
103,sản phẩm tuyệt vời mỗi tội màn hình cong mình không thích lắm,Positive
104,máy xài ngon nhất trong thế giới android mà mình biết sẽ giới thiệu cho bạn bè mua quá đáng đồng tiền bát gạo,Positive
105,máy thường có lỗi màn đen chỉnh sáng thấp bị ám xanh lá nên cân nhắc với oppo find x2,Normal
106,vừa mua 16490 mà giờ đã 15990 rồi máy rất đẹp dùng thì siêu mượt tai nghe rất phê cho luôn 5 sao nhé ss,Positive
107,mình đang dùng iphone 11 mà thấy samsung note 10 này đẹp quá nên phải mua luôn máy quá đẹp 100đ hiệu năng thì chưa biết như thế nào nhưng mà đẹp cảm thấy đẹp nhất trong tất cả các loại máy,Positive
108,tuyệt vời pin bền hiệu năng cao nói chung la tốt có tiền làm con ultra thì tuyệt vời hơn,Positive
109,bỏ 20tr ra mua note 20 ma sài hay bị treo man hình quá bực bội mới mua dc 1 tuần chứ nhiêu phần mêm hay game thì ko cai dat gi thêm,Negative
110,mình upgrade từ iphone x lên note20 được trợ giá 5 triệu sản phẩm xài 1 tuần thì thấy tuyệt vời vì máy quá mượt màu đẹp chụp ảnh đêm siêu siêu đẹppppppppppppp tuy nhiên giá tgdd hơi nhỉnh hơn but chất lượng phục vụ rất hài lòng sẽ quay lại ủng hộ tgdd và samsung,Positive
111,sang xịn mịn không thể không khen được chờ iphone 12 ra thì mua tiếp,Positive
112,sản phẩm tốt chất lượng dịch vụ tuyệt vời camera rất sáng nhân viên lịch sự và nhiệt tình,Positive
113,sản phẩm đẹp tiết là ko có video đi kèm để khách nhìn rõ hơn nên cũng khó chọn ko biết kim rốn góc 6h có hoạt động ko,Positive
114,tuyệt quá tìm mãi mới ra cục sạc cho cái máy cùi bắp của mình xém tý nữa thì phải vứt máy đi vì không có cục sạc rồi,Positive
115,sạc nhanh vào điện rất tiện lợi khi cầm theo thiết kế đẹp được đón tiếp nhiệt tình dù là mua sảm phẩm có giá thành không cao,Positive
116,chất lượng sản phẩm dùng tốt ít lỗi phù hợp với dòng điện thoại cũ tôi rất hài lòng với sản phẩm này,Positive
117,thật sự tầm giá này sẽ có nhiều người phân vân 11 và xs mua xs xài lâu dài sẽ ngon hơn đã mua và trải nghiệm cả 2 máy,Positive
118,toang kính corning gorilla 3 cho siêu phẩm họ sài 6 xắp lên 7 luôn rồi thua cấu hình oppo find x2 x2 18 củ con này 15 củ là vừa thất vọng khá nhiều,Normal
119,sản phẩm chất lượng tuyệt vời cấu hình và thiết kế đẹp đợi ngày về hàng nữa là quất ngay 1 em,Positive
120,sau 1 tháng sd tốt màn hình đẹp mượt âm thanh ok camera đẹp tệ máy rất mau nóng pin tuột nhanh 1,Positive
121,đánh giá dựa trên cảm nhận sau 1 tuần sử dụng trước khi đổi qua note 10 mình đã dùng ipx thực ra mà nói cả 2 đều có thế mạnh riêng của nó tuy nhiên đối với cá nhân mình vẫn thích dòng ip hơn thế mạnh của samsung note 10 là chụp hình cực kì đẹp rất thích các tính năng chụp hình của note 10 máy chạy cũng mượt mà màn hình đẹp và trải nghiệm giải trí cũng rất tuyệt vời tuy nhiên các icon của samsung k đẹp như ip tính ra note 10 đôi khi vẫn để lại độ trễ k đáng kể nhưng hạn chế của note 10 so với ip là vân tay cảm biến k nhạy lắm có chức năng quét khuôn mặt nhưng chỉ để mở khóa điện thoại chứ k phục vụ cho các app khác trên ip các app của bank momo zalo pay viettel pay đều chấp nhận cho quét khuôn mặt để thực hiện giao dịch cực nhanh chóng và tiện lợi nhưng samsung k cho phép được việc này thêm 1 điểm nữa là samsung kiểu chữ k đẹp như ip và samsung k có nút back về ứng dụng trước đó như ip vd mình đang cần xác minh mã otp của momo trên ip bạn đang mở giao diện momo khi có cuộc gọi đến để đọc mã otp momo bạn chỉ cần bấm nút back lại trên góc trái của ip là quay lại momo ngay vì trc đó bạn fai bấm nút bắt máy cuộc gọi đến nhưng samsung sau khi bắt máy nó vẫn ở giao diện cuộc gọi muốn về momo để nhập mã khi vẫn đang nghe cuộc gọi bạn fai bấm nút giống nút home rồi bấm lại và shortcut momo rất bất tiện luôn cho nên thực sự là tùy vào sở thích của bạn mà có lựa chọn phù hợp ai thích chụp choẹt tự sướng thì dùng note 10 là đỉnh nhưng ai thích các tính năng tiện dụng thì nên chọn ip sẽ hay hơn,Positive
122,mới lấy xong hôm qua 3 4 2020 mọi thứ đều tuyệt vời đã cập nhật lên bản mới nhất mình gặp 1 vấn đề là thanh điều hướng đôi lúc bấm vài lần mới nhận hiện tại vẫn đang bị như vậy nếu thời gian nữa vậy bị mình sẽ ra tgdđ xem ntn và đổi được không,Positive
123,mình trước giờ sử dụng iphone nhưng nay mình mua máy note20 vì cũng muốn thay đổi đúng kiểu đẳng cấp xài thích quá luôn cảm ơn tgdđ,Positive
124,mình trước giờ sử dụng iphone nhưng nay mình mua máy này vì cũng muốn thay đổi nhưng máy tệ hơn nhiều quá và android xài tệ hơn ios rất nhiều sam sung trượt mở khóa và nhiều tính năng khác không bằng android là có thật mọi người ạ,Normal
125,máy mua tại tgdd nhiều ưu điểm nổi bật trong thiết kế camera màn hình đẹp âm thanh tuyệt vời khả năng chụp hình siêu nét thời lượng pin cao cùng bộ vi xử lý được nâng cấp táo bạo ý mình là con note20 ultra mình mua còn con note20 thì mình thấy mọi người nên cân nhắc nhé,Positive
126,máy xài mượt cam chụp đẹp hiệu năng tốt thiết kế vẻ ngoài chưa ưng lắm nói chung là đẳng cấp iphone thôi,Positive
127,sản phẩm ok chính sách bảo hành tốt tôi cảm thấy rất hài lòng về sản phẩm này,Positive
128,sản phẩm tuyệt vời chính sách đổi trả ok rất hài lòng về sản phẩm thuận tiện cho người dùng,Positive
129,màu sắc đẹp đầu sạc chắc chắn được bảo hành 1 năm lỗi đổi mới chính sách bảo hành rất tốt rất hài lòng,Positive
